lat_sat_0,lon_sat_0,lat_sat_1,lon_sat_1,lat_sat_2,lon_sat_2,lat_sat_3,lon_sat_3
-63.74194212698064,20.55288422036583,-48.45816824062931,38.336185377469036,-57.90204233417394,30.052810246949836,-62.08319204298558,23.849910300435354
-63.98777594494316,20.550908886053318,-48.70554156081598,38.332480285592816,-58.1473314326747,30.049235579517646,-62.32872357376062,23.847406431625565
-64.23360973013969,20.548933402263806,-48.952915029048434,38.32877505582943,-58.39262074998788,30.045660670191875,-62.57425514122814,23.84490237519098
-64.47944365066161,20.5469577690161,-49.20028881336153,38.32506968820908,-58.637910454154984,30.042085519022304,-62.819786913469976,23.842398131159857
-64.72527770649944,20.544981986329063,-49.44766291368931,38.3213641827622,-58.88320054511652,30.038510126058707,-63.06531889046695,23.8398936995605
-64.97111189764496,20.543006054221557,-49.695037329966894,38.317658539519044,-59.12849102281451,30.034934491350977,-63.31085107220143,23.83738908042132
-65.21694622408972,20.541029972712415,-49.94241206212949,38.31395275850995,-59.37378188719053,30.03135861494886,-63.55638345865534,23.8348842737706
-65.46278068582426,20.539053741820478,-50.189787110111126,38.31024683976527,-59.6190731381852,30.027782496902155,-63.801916049809584,23.832379279636665
-65.70861528284289,20.53707736156459,-50.43716247384958,38.30654078331528,-59.864364775742956,30.02420613726069,-64.04744884564892,23.829874098047853
-65.95445001513589,20.53510083196362,-50.684538153278794,38.30283458919035,-60.10965679980421,30.02062953607425,-64.29298184615406,23.827368729032486
-66.200284882695,20.53312415303639,-50.931914148334066,38.29912825742078,-60.354949210310735,30.01705269339255,-64.53851505130727,23.824863172618898
-66.44611988551074,20.531147324801744,-51.17929045894953,38.29542178803696,-60.600242007203235,30.013475609265456,-64.78404846108924,23.82235742883537
-66.69195519167445,20.529170347278566,-51.426667253160026,38.291715181069115,-60.84553535852298,30.009898283742647,-65.029582243582,23.819851497710314
